Brick,(-3.00, 0.00, 3.00)
Brick,(-3.00, 8.00, -3.00)
Brick,(-3.00, 8.00, 1.00)
Brick,(3.00, 0.00, 1.00)
Brick,(3.00, 2.00, 1.00)
Brick,(3.00, 4.00, 1.00)
Brick,(-3.00, 0.00, 1.00)
Brick,(9.00, 6.00, -3.00)
Brick,(1.00, 6.00, 5.00)
Brick,(3.00, 0.00, -3.00)
Brick,(-1.00, 6.00, 3.00)
Brick,(1.00, 0.00, 3.00)
Brick,(-3.00, 6.00, 5.00)
Brick,(-1.00, 2.00, 1.00)
Brick,(5.00, 2.00, 1.00)
Brick,(9.00, 0.00, 1.00)
Brick,(9.00, 2.00, -3.00)
Brick,(9.00, 0.00, -3.00)
Brick,(-3.00, 8.00, 3.00)
Brick,(3.00, 6.00, 5.00)
Brick,(9.00, 6.00, 1.00)
Brick,(9.00, 6.00, 5.00)
Brick,(9.00, 2.00, 3.00)
Brick,(5.00, 6.00, 5.00)
Brick,(3.00, 6.00, 3.00)
Brick,(-3.00, 4.00, -3.00)
Brick,(9.00, 6.00, -1.00)
Brick,(-3.00, 0.00, -1.00)
Brick,(-1.00, 4.00, 1.00)
Brick,(9.00, 6.00, 3.00)
Brick,(3.00, 0.00, 5.00)
Brick,(7.00, 6.00, -3.00)
Brick,(-3.00, 6.00, 1.00)
Brick,(-3.00, 8.00, 5.00)
Brick,(7.00, 6.00, 1.00)
Brick,(7.00, 0.00, 5.00)
Brick,(-1.00, 0.00, 1.00)
Brick,(1.00, 6.00, -3.00)
Brick,(5.00, 4.00, 1.00)
Brick,(-3.00, 4.00, 3.00)
Brick,(-3.00, 6.00, -1.00)
Brick,(7.00, 4.00, 1.00)
Brick,(7.00, 2.00, 1.00)
Brick,(9.00, 4.00, 5.00)
Brick,(-1.00, 0.00, 5.00)
Brick,(9.00, 4.00, -3.00)
Brick,(-3.00, 8.00, 3.00)
Brick,(-3.00, 4.00, 1.00)
Brick,(7.00, 0.00, 1.00)
Brick,(-3.00, 8.00, -1.00)
Brick,(1.00, 0.00, 5.00)
Brick,(7.00, 0.00, 3.00)
Brick,(9.00, 0.00, 3.00)
Brick,(9.00, 2.00, 1.00)
Brick,(-3.00, 8.00, -1.00)
Brick,(9.00, 4.00, -1.00)
Brick,(3.00, 6.00, 1.00)
Brick,(7.00, 6.00, 3.00)
Brick,(1.00, 6.00, 3.00)
Brick,(9.00, 4.00, 1.00)
Brick,(-3.00, 0.00, -3.00)
Brick,(3.00, 0.00, -1.00)
Brick,(5.00, 0.00, -3.00)
Brick,(-3.00, 2.00, -1.00)
Brick,(9.00, 0.00, -1.00)
Brick,(-3.00, 8.00, 5.00)
Brick,(7.00, 6.00, 5.00)
Brick,(-3.00, 6.00, -3.00)
Brick,(-3.00, 4.00, -1.00)
Brick,(-5.00, 4.00, -29.00)
Brick,(1.00, 0.00, -3.00)
Brick,(-1.00, 6.00, 1.00)
Brick,(-3.00, 2.00, -3.00)
Brick,(9.00, 2.00, -1.00)
Brick,(-3.00, 6.00, 3.00)
Brick,(-3.00, 8.00, 1.00)
Brick,(3.00, 6.00, -3.00)
Brick,(1.00, 0.00, -1.00)
Brick,(-3.00, 0.00, 5.00)
Brick,(-3.00, 2.00, 3.00)
Brick,(-3.00, 8.00, -3.00)
Brick,(7.00, 0.00, -3.00)
Brick,(5.00, 6.00, 1.00)
Brick,(-3.00, 2.00, 5.00)
Brick,(1.00, 2.00, 1.00)
Brick,(5.00, 0.00, 3.00)
Brick,(9.00, 0.00, 5.00)
Brick,(5.00, 0.00, 5.00)
Brick,(9.00, 2.00, 5.00)
Brick,(5.00, 0.00, -1.00)
Brick,(-1.00, 0.00, -1.00)
Brick,(5.00, 6.00, 3.00)
Brick,(-1.00, 6.00, -3.00)
Brick,(3.00, 6.00, -1.00)
Brick,(1.00, 4.00, 1.00)
Brick,(1.00, 6.00, 1.00)
Brick,(-1.00, 0.00, 3.00)
Brick,(-3.00, 2.00, 1.00)
Brick,(-1.00, 0.00, -3.00)
Brick,(-1.00, 6.00, 5.00)
Brick,(1.00, 6.00, -1.00)
Brick,(7.00, 0.00, -1.00)
Brick,(5.00, 0.00, 1.00)
Brick,(5.00, 6.00, -1.00)
Brick,(-3.00, 4.00, 5.00)
Brick,(3.00, 0.00, 3.00)
Brick,(1.00, 0.00, 1.00)
Brick,(5.00, 6.00, -3.00)
Brick,(9.00, 4.00, 3.00)
Brick,(7.00, 6.00, -1.00)
Brick,(13.00, 4.00, -9.00)
Brick,(15.00, 4.00, -9.00)
Brick,(17.00, 4.00, -9.00)
